          28  sizes 
           1  5.0000008E-03  1.1313702E+08
           2  5.7795621E-03  6.8134608E+07
           3  6.6806665E-03  4.1032760E+07
           4  7.7222600E-03  2.4711240E+07
           5  8.9262547E-03  1.4881871E+07
           6  1.0317967E-02   8962321.    
           7  1.1926661E-02   5397386.    
           8  1.3786174E-02   3250475.    
           9  1.5935604E-02   1957538.    
          10  1.8420158E-02   1178890.    
          11  2.1292087E-02   709963.8    
          12  2.4611777E-02   427562.5    
          13  2.8449053E-02   257491.4    
          14  3.2884602E-02   155069.3    
          15  3.8011711E-02   93387.56    
          16  4.3938190E-02   56240.86    
          17  5.0788693E-02   33870.01    
          18  5.8707271E-02   20397.57    
          19  6.7860432E-02   12284.06    
          20  7.8440711E-02   7397.835    
          21  9.0670548E-02   4455.209    
          22  0.1048072       2683.064    
          23  0.1211479       1615.826    
          24  0.1400363       973.1000    
          25  0.1618697       586.0309    
          26  0.1871071       352.9262    
          27  0.2162794       212.5430    
          28  0.2500000       128.0001    
 
 
 slope (p):    3.500000    
